theta_deg,log10_viscosity_ratio,Q_reference,Q_interpolated,absolute_error_Q,reference_estimated_error_Q,absolute_weighted_node_sensitivity_Q,checkpoint_error_budget_Q,table_cell_theta_index,table_cell_log10_M_index,reference_converged
67.5,-1.625,0.30622024995962371,0.30623649611243314,1.6246152809429315e-05,0.00010049177291204803,0.00018784291997878409,0.00030458084570026144,8,2,True
67.5,-1.375,0.29568593105177043,0.29572177698290242,3.5845931131983644e-05,0.00010295359632039869,0.00017707425260766758,0.00031587378006004991,8,3,True
67.5,-1.125,0.27902964295261556,0.279081952268453,5.2309315837439918e-05,0.0001069942573481697,0.00018667265197216552,0.00034597622515777514,8,4,True
67.5,-0.875,0.25482590438032915,0.25486501955884883,3.9115178519677496e-05,0.00011328452311132331,0.00020075855081137887,0.00035315825244237967,8,5,True
67.5,-0.625,0.2243225163536462,0.2243070344900619,1.5481863584299038e-05,0.0001223373990084653,0.00021955318011355736,0.00035737244270632169,8,6,True
67.5,-0.375,0.19459253224970907,0.19463560034581415,4.306809610507556e-05,0.0001340194388036453,0.00023038167130375444,0.0004074692062124753,8,7,True
67.5,-0.125,0.18021391099178474,0.18012028145538581,9.3629536398937008e-05,0.0001470760381450109,0.00037341552652653167,0.00061412110107047959,8,8,True
72.5,-1.9375,0.42860413015040522,0.42860629839293424,2.1682425290214802e-06,8.862143720533844e-05,0.00021044405192612674,0.00030123373166048668,9,0,True
72.5,-1.8125,0.42477258562909048,0.42477667818952525,4.0925604347652467e-06,8.92981968809714e-05,0.00015545766913029638,0.00024884842644603303,9,1,True
72.5,-1.625,0.41676409391002134,0.41677993601487223,1.5842104850893879e-05,9.072129330800482e-05,0.0002050230415404785,0.0003115864396993772,9,2,True
72.5,-1.375,0.40018584223180809,0.4002290991875822,4.3256955774118033e-05,9.370481707415834e-05,0.00019355416597301677,0.00033051593882129314,9,3,True
72.5,-1.125,0.37428953854888725,0.37434575415010712,5.6215601219877787e-05,9.848420115465828e-05,0.00020420298669763333,0.00035890278907216939,9,4,True
72.5,-0.875,0.33729996516493099,0.33732030396348722,2.0338798556229776e-05,0.0001056426175091163,0.00021941601133456973,0.00034539742739991581,9,5,True
72.5,-0.625,0.29156720574069472,0.29151344642552252,5.3759315172208222e-05,0.00011535470713053275,0.00023900254723630216,0.00040811656953904313,9,6,True
72.5,-0.375,0.24714261224306155,0.24721426622955081,7.1653986489256249e-05,0.0001268761360261328,0.00024994483241434795,0.00044847495492973699,9,7,True
72.5,-0.125,0.22208441049146066,0.22191296636117114,0.00017144413028952199,0.00013835144200680105,0.0004035706789331493,0.00071336625122947234,9,8,True
77.5,-1.9375,0.54379784793433283,0.54379480909211453,3.0388422183058594e-06,8.109455418503497e-05,0.00019998235990981115,0.00028411575631315201,10,0,True
77.5,-1.8125,0.53805893344343136,0.53805926654486791,3.3310143654485813e-07,8.197842613677508e-05,0.00014777744280524929,0.00023008897037856923,10,1,True
77.5,-1.625,0.52611849041882497,0.52613729630668893,1.8805887863959647e-05,8.382465021816721e-05,0.00019524669085379899,0.00029787722893592587,10,2,True
77.5,-1.375,0.50163323125866333,0.50168719276433704,5.3961505673716381e-05,8.763981868242787e-05,0.00018490057099417148,0.00032650189535031574,10,3,True
77.5,-1.125,0.46399906928187928,0.46405438971492347,5.5320433044181438e-05,9.359362899430401e-05,0.00019555800086101495,0.00034447206289950041,10,4,True
77.5,-0.875,0.41148968030833222,0.4114792561383861,1.0424169946121609e-05,0.00010214802547636737,0.00021030539811967957,0.00032287759354216854,10,5,True
77.5,-0.625,0.34843982168271304,0.34834656531617597,9.3256366537064483e-05,0.00011304111569299113,0.00022848689052087267,0.00043478437275092828,10,6,True
77.5,-0.375,0.28867366598490929,0.28877399868412668,0.00010033269921738697,0.00012482088148579873,0.0002382532425945464,0.0004634068232977321,10,7,True
77.5,-0.125,0.25350341993617143,0.25326467554917731,0.00023874438699411638,0.00013504957479992807,0.0003832703276166987,0.0007570642894107432,10,8,True
82.5,-1.9375,0.66032382195497163,0.66032062998045971,3.1919745119290965e-06,7.554107290741463e-05,0.00018419449131055652,0.00026292753872990025,11,0,True
82.5,-1.8125,0.65203638423590327,0.65203883159494469,2.4473590414242352e-06,7.669659690923147e-05,0.00013621390148039922,0.00021535785743105493,11,1,True
82.5,-1.625,0.63489155338199665,0.6349215051492727,2.9951767276048535e-05,7.908974825487913e-05,0.00018073269512028549,0.00028977421065121318,11,2,True
82.5,-1.375,0.60014357611847957,0.60021379921136586,7.0223092886290139e-05,8.394865231176052e-05,0.00017243192807834477,0.00032660367327639543,11,3,True
82.5,-1.125,0.5477863873185419,0.54783494921681475,4.8561898272847515e-05,9.130060867101886e-05,0.00018355148150445101,0.00032341398844831738,11,4,True
82.5,-0.875,0.47679306806132427,0.47674318194124271,4.9886120081554797e-05,0.0001013607326578736,0.00019819982157228821,0.0003494466743117166,11,5,True
82.5,-0.625,0.39456143268695498,0.39443769776531151,0.00012373492164347022,0.00011326518067278357,0.00021509941095498484,0.00045209951327123863,11,6,True
82.5,-0.375,0.31929654689944587,0.3194205554887064,0.00012400858926053804,0.00012482324201956718,0.00022363218676960128,0.0004724640180497065,11,7,True
