theta_rad,Qi_direct,Qi_interpolated,abs_interpolation_error_Qi,estimated_error_Qi,spacing,radius,relative_residual,method,generator_sha256
1.875,0.43166431800677579,0.4316649645204178,6.465136420108486e-07,7.7866563730211169e-07,0.050000000000000003,40,1.7492600070022295e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.9249999999999998,0.54046409105107374,0.54046495894203295,8.6789095921080417e-07,7.4472741029563139e-07,0.050000000000000003,40,2.1518983788661071e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.9750000000000001,0.65688786518795883,0.65688910206364648,1.236875687649075e-06,7.1275134549964037e-07,0.050000000000000003,40,2.2352228431689997e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.0249999999999999,0.78213153781097888,0.78213345881038698,1.9209994081004211e-06,6.826519564073763e-07,0.050000000000000003,40,2.3240065436837228e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.0750000000000002,0.91761085436101686,0.91761427377723148,3.419416214622828e-06,6.5435583074258119e-07,0.050000000000000003,40,2.7647430441046838e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.125,1.0650162456440277,1.0650241107071521,7.8650631243348812e-06,6.2779960341430296e-07,0.050000000000000003,40,2.801928025577834e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.1749999999999998,1.2263845092946442,1.22636341744672,2.1091847924203933e-05,6.0293083370410727e-07,0.050000000000000003,40,3.1394434855357546e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.2062499999999998,1.3354093554733661,1.3354112214564497,1.8659830836043056e-06,5.882256468581204e-07,0.050000000000000003,40,1.4939866232746305e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.21875,1.3809706633315786,1.3809696144367378,1.0488948407605392e-06,5.8252189893970296e-07,0.050000000000000003,40,1.6352114140094727e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.2312500000000002,1.4277204191555051,1.4277176433721857,2.7757833194197445e-06,5.769196405047694e-07,0.050000000000000003,40,1.6151738906601542e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.2437499999999999,1.4757112737188933,1.4757132260921422,1.952373248848005e-06,5.7141850184905252e-07,0.050000000000000003,40,1.707759508042025e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
